,pl,be,uk,ru,bg,sl,cs
3848,Niccolò Tartaglia,Нікола Тарталья,Нікколо Тарталья,Никколо Тарталья,Николо Тарталя,Niccolo Fontana Tartaglia,Niccolò Fontana Tartaglia
3849,Felix Klein,Фелікс Клейн,Фелікс Кляйн,Феликс Клейн,Феликс Клайн,Felix Christian Klein,Felix Klein
3850,Siméon Denis Poisson,Сімеон Дэні Пуасон,Сімеон-Дені Пуассон,Симеон Пуассон,Симеон Дени Поасон,Siméon-Denis Poisson,Siméon Denis Poisson
3851,Siméon Denis Poisson,Сімеон Пуасон,Сімеон-Дені Пуассон,Симеон Пуассон,Симеон Дени Поасон,Siméon-Denis Poisson,Siméon Denis Poisson
3852,William Oughtred,Уільям Оўтрэд,Вільям Отред,Уильям Отред,Уилям Отред,William Oughtred,William Oughtred
3853,Gaspard Monge,Гаспар Монж,Гаспар Монж,Гаспар Монж,Гаспар Монж,Gaspard Monge,Gaspard Monge
3854,Isaac Newton,Ісак Ньютан,Ісаак Ньютон,Исаак Ньютон,Исак Нютон,Isaac Newton,Isaac Newton
3855,Adrien-Marie Legendre,Адрыен Мары Лежандр,Адрієн-Марі Лежандр,Адриен Лежандр,Адриан-Мари Льожандър,Adrien-Marie Legendre,Adrien-Marie Legendre
3856,Adrien-Marie Legendre,Адрыен Лежандр,Адрієн-Марі Лежандр,Адриен Лежандр,Адриан-Мари Льожандър,Adrien-Marie Legendre,Adrien-Marie Legendre
3857,Teodozjusz I Wielki,Феадосій I Вялікі,Феодосій Великий,Феодосий I Великий,Теодосий I,Teodozij I,Theodosius I
3858,Teodozjusz I Wielki,Флавій Феадосій,Феодосій Великий,Феодосий I Великий,Теодосий I,Teodozij I,Theodosius I
3859,Teodozjusz II ,Феадосій II,Феодосій II,Феодосий II,Теодосий II,Teodozij II,Theodosius II
3860,Will Smith,Уіл Сміт,Вілл Сміт,Уилл Смит,Уил Смит,Will Smith,Will Smith
3861,Ryan Gosling,Раян Гослінг,Раян Гослінг,Райан Гослинг,Райън Гослинг,Ryan Gosling,Ryan Gosling
3862,Alan Lloyd Hodgkin,Алан Ходжкін,Алан Годжкін,Алан Ходжкин,Алън Ходжкин,Alan Lloyd Hodgkin,Alan Lloyd Hodgkin
3863,Ray Charles,Рэй Чарльз,Рей Чарльз,Рэй Чарльз,Рей Чарлс,Ray Charles,Ray Charles
3864,Johann Strauss ,Ёган Штраўс,Штраус Йоганн,Иоганн Штраус,Йохан Щраус ,Johann Strauss starejši,Johann Strauss starší
3865,Werner Herzog,Вернер Херцаг,Вернер Герцог,Вернер Херцог,Вернер Херцог,Werner Herzog,Werner Herzog
3866,Peter Jackson,Пітэр Джэксан,Пітер Джексон,Питер Джексон,Питър Джаксън,Peter Jackson,Peter Jackson
3867,Novalis,Наваліс,Новаліс,Новалис,Новалис,Novalis,Novalis
3868,Alfons XIII Burbon,Альфонса XIII,Альфонсо XIII,Альфонсо XIII,Алфонсо XIII,Alfonz XIII. Španski,Alfons XIII
3869,Arthur Rimbaud,Жан Нікаля Арцюр Рэмбо,Артюр Рембо,Артюр Рембо,Артюр Рембо,Arthur Rimbaud,Arthur Rimbaud
3870,Fred Hoyle,Фрэд Хойл,Фред Гойл,Фред Хойл,Фред Хойл,Fred Hoyle,Fred Hoyle
3871,William Fowler,У. А. Фаўлер,Альфред Вільям,Уильям Фаулер,Уилям Алфред Фаулър,William Alfred Fowler,William Alfred Fowler
3872,William Fowler,Уільям Алфрэд Фаўлер,Альфред Вільям,Уильям Фаулер,Уилям Алфред Фаулър,William Alfred Fowler,William Alfred Fowler
3873,Fred Hoyle,Ф. Хойл,Фред Гойл,Фред Хойл,Фред Хойл,Fred Hoyle,Fred Hoyle
3874,Subrahmanyan Chandrasekhar,С. Чандрасекар,Субрахманьян Чандрасекар,Субраманьян Чандрасекар,Субраманиан Чандрасекар,Subrahmanyan Chandrasekhar,Subrahmanyan Chandrasekhar
3875,Subrahmanyan Chandrasekhar,Субрахманьян Чандрасекар,Субрахманьян Чандрасекар,Субраманьян Чандрасекар,Субраманиан Чандрасекар,Subrahmanyan Chandrasekhar,Subrahmanyan Chandrasekhar
3876,Klaus Schwab,Клаус Марцін Шваб,Клаус Шваб,Клаус Шваб,Клаус Шваб,Klaus Schwab,Klaus Schwab
3877,Klaus Schwab,Клаўс Шваб,Клаус Шваб,Клаус Шваб,Клаус Шваб,Klaus Schwab,Klaus Schwab
3878,Klaus Schwab,Клаўс Марцін Шваб,Клаус Шваб,Клаус Шваб,Клаус Шваб,Klaus Schwab,Klaus Schwab
3879,Maria Gaetana Agnesi,Марыя Гаэтана Аньезі,Ґаетана Марія,Мария Аньези,Мария Гаетана Анези,Maria Gaetana Agnesi,Maria Gaetana Agnesiová
3880,Émile Borel,Эміль Барэль,Еміль Борель,Эмиль Борель,Емил Борел,Émile Borel,Émile Borel
3881,Joseph Liouville,Жазеф Ліувіль,Жозеф Ліувілль,Жозеф Лиувилль,Жозеф Лиувил,Joseph Liouville,Joseph Liouville
3882,Abraham de Moivre,Абрахам дэ Муаўр,де Абрахам,Абрахам Муавр,Абрахам дьо Моавър,Abraham de Moivre,Abraham de Moivre
3883,Justin Bieber,Джасцін Бібер,Джастін Бібер,Джастин Бибер,Джъстин Бийбър,Justin Bieber,Justin Bieber
3884,Sauli Niinistö,Саўлі Нійнісцё,Саулі Нійністе,Саули Ниинистё,Саули Нийнистьо,Sauli Niinistö,Sauli Niinistö
3885,Pietro Perugino,П’етра Перуджына,П'єтро Перуджіно,Пьетро Перуджино,Пиетро Перуджино,Perugino,Perugino
3886,Thomas Bayes,Томас Баес,Томас Баєс,Томас Байес,Томас Бейс,Thomas Bayes,Thomas Bayes
3887,John Wallis,Джон Валіс,Джон Валліс,Джон Валлис,Джон Уолис,John Wallis,John Wallis
3888,Karl Weierstrass,Карл Веерштрас,Карл Веєрштрасс,Карл Вейерштрасс,Карл Вайерщрас,Karl Weierstrass,Karl Weierstrass
3889,Vincenzo Viviani,Вінчэнца Вівіяні,Вінченцо Вівіані,Винченцо Вивиани,Винченцо Вивиани,Vincenzo Viviani,Vincenzo Viviani
3890,William Rowan Hamilton,Уільям Роўэн Гамільтан,Ровен Вільям,Уильям Гамильтон,Уилям Роуън Хамилтън,William Rowan Hamilton,William Rowan Hamilton
3891,William Rowan Hamilton,Уільям Гамільтан,Ровен Вільям,Уильям Гамильтон,Уилям Роуън Хамилтън,William Rowan Hamilton,William Rowan Hamilton
3892,Bonaventura Cavalieri,Банавентура Кавальеры,Бонавентура Кавальєрі,Бонавентура Кавальери,Бонавентура Кавалиери,Bonaventura Francesco Cavalieri,Bonaventura Cavalieri
3893,Lu Xun,Лу Сінь,Лу Сінь,Лу Синь,Лю Сюн,Lu Šun,Lu Sün
3894,Justin Bieber,Джасцін Бібэр,Джастін Бібер,Джастин Бибер,Джъстин Бийбър,Justin Bieber,Justin Bieber
3895,Augustin Louis Cauchy,Агюстэн Луі Кашы,Оґюстен-Луї Коші,Огюстен Коши,Огюстен Луи Коши,Augustin Louis Cauchy,Augustin Louis Cauchy
3896,Augustin Louis Cauchy,Агюстэн Кашы,Оґюстен-Луї Коші,Огюстен Коши,Огюстен Луи Коши,Augustin Louis Cauchy,Augustin Louis Cauchy
3897,Filippo Juvara,Філіпа Ювара,Філіппо Ювара,Филиппо Юварра,Филипо Ювара,Filippo Juvarra,Filippo Juvarra
3898,Rafael Santi,Рафаэль,Рафаель Санті,Рафаэль Санти,Рафаело Санцио,Raffaello Santi,Raffael Santi
3899,Lizyp,Лісіп,Лісіпп,Лисипп,Лизип,Lizip,Lysippos
3900,Hadrian,Адрыян,Адріан,Адриан,Адриан ,Hadrijan,Hadrianus
3901,Jacques-Louis David,Жак Луі Давід,Жак-Луї Давід,Жак Давид,Жак-Луи Давид,Jacques-Louis David,Jacques-Louis David
3902,Fedor von Bock,Ф. фон Бок,фон Федор,Федор Бок,Федор фон Бок,Fedor von Bock,Fedor von Bock
3903,Leonardo DiCaprio,Леанарда дзі Капрыё,Ді Леонардо,Леонардо Ди Каприо,Леонардо ди Каприо,Leonardo DiCaprio,Leonardo DiCaprio
3904,Dmitrij Pawłow,Дз. Р. Паўлаў,Дмитро Павлов,Дмитрий Павлов,Дмитрий Павлов,Dimitrij Grigorjevič Pavlov,Dmitrij Grigorjevič Pavlov
3905,Dmitrij Pawłow,Дзмітрый Рыгоравіч Паўлаў,Дмитро Павлов,Дмитрий Павлов,Дмитрий Павлов,Dimitrij Grigorjevič Pavlov,Dmitrij Grigorjevič Pavlov
3906,Francisco Goya,Францыска Гоя,де Франсіско-Хосе,Франсиско Гойя,Франсиско Гоя,Francisco de Goya,Francisco Goya
3907,Pedro de Valdivia,Педра дэ Вальдывія,де Педро,Педро Вальдивия,Педро де Валдивия,Pedro de Valdivia,Pedro de Valdivia
3908,Kelly Clarkson,Келі Кларксан,Келлі Кларксон,Келли Кларксон,Кели Кларксън,Kelly Clarkson,Kelly Clarkson
3909,Francisco Pizarro,Ф. Пісара,Франсіско Пісарро,Франсиско Писарро,Франсиско Писаро,Francisco Pizarro,Francisco Pizarro
3910,François Noël Babeuf,Гракх Бабёф,Гракх Бабеф,Гракх Бабёф,Гракх Бабьоф,François-Noël Babeuf,Gracchus Babeuf
3911,François Noël Babeuf,Франсуа Наэль Бабёф,Гракх Бабеф,Гракх Бабёф,Гракх Бабьоф,François-Noël Babeuf,Gracchus Babeuf
3912,Wawrzyniec Wspaniały,Ларэнца Медычы,Лоренцо Медічі,Лоренцо Медичи,Лоренцо Медичи,Lorenzo Medičejski Veličastni,Lorenzo I. Medicejský
3913,E.T.A. Hoffmann,Э. Гофман,Ернст Теодор Амадей Гофман,Эрнст Гофман,Ернст Теодор Амадеус Хофман,E. T. A. Hoffmann,Ernst Theodor Wilhelm Hoffmann
3914,Gustave Flaubert,Г. Флабер,Гюстав Флобер,Гюстав Флобер,Гюстав Флобер,Gustave Flaubert,Gustave Flaubert
3915,Robert Louis Stevenson,Р. Стывенсан,Луїс Роберт,Роберт Стивенсон,Робърт Луис Стивънсън,Robert Louis Stevenson,Robert Louis Stevenson
3916,Robert Walser,Роберт Вальзер,Роберт Вальзер,Роберт Вальзер,Роберт Валзер,Robert Walser,Robert Walser
3917,Martin Walser,Марцін Вальзер,Мартін Вальзер,Мартин Вальзер,Мартин Валзер,Martin Walser,Martin Walser
3918,Hugh Laurie,Х’ю Лоры,Г'ю Лорі,Хью Лори,Хю Лори,Hugh Laurie,Hugh Laurie
3919,Johannes Peter Müller,Іаган Петэр Мюлер,Петер Йоганн,Иоганн Мюллер,Йоханес Петер Мюлер,Johannes Peter Müller,Johannes Peter Müller
3920,Luís Figo,Луіш Фігу,Луїш Фігу,Луиш Фигу,Луиш Фиго,Luís Figo,Luís Figo
3921,Iker Casillas,Ікер Касільяс,Ікер Касільяс,Икер Касильяс,Икер Касиляс,Iker Casillas,Iker Casillas
3922,Alfredo Di Stéfano,Альфрэда Ды Стэфана,Ді Альфредо,Альфредо Ди Стефано,Алфредо ди Стефано,Alfredo Di Stéfano,Alfredo Di Stéfano
3923,Michel Platini,Мішэль Плаціні,Мішель Платіні,Мишель Платини,Мишел Платини,Michel Platini,Michel Platini
3924,Tomáš Masaryk,Томаш Гарыг Масарык,Гарріг Томаш,Томаш Масарик,Томаш Масарик,Tomáš Garrigue Masaryk,Tomáš Garrigue Masaryk
3925,Tomáš Masaryk,Томаш Масарык,Гарріг Томаш,Томаш Масарик,Томаш Масарик,Tomáš Garrigue Masaryk,Tomáš Garrigue Masaryk
3926,Gary Lineker,Гары Лінекер,Гарі Лінекер,Гари Линекер,Гари Линекер,Gary Lineker,Gary Lineker
3927,Roberto Baggio,Раберта Баджа,Роберто Баджо,Роберто Баджо,Роберто Баджо,Roberto Baggio,Roberto Baggio
3928,Marco van Basten,Марка ван Бастэн,ван Марко,Марко Ван Бастен,Марко ван Бастен,Marco van Basten,Marco van Basten
3929,Zico,Зіку,Зіку,Зико,Зико,Zico,Zico
3930,Peter Schmeichel,Петэр Шмейхель,Петер Шмейхель,Петер Шмейхель,Петер Шмайхел,Peter Schmeichel,Peter Schmeichel
3931,Davor Šuker,Давар Шукер,Давор Шукер,Давор Шукер,Давор Шукер,Davor Šuker,Davor Šuker
3932,Alan Shearer,Алан Шырэр,Алан Ширер,Алан Ширер,Алан Шиърър,Alan Shearer,Alan Shearer
3933,Gianni Rivera,Джані Рывера,Джанні Рівера,Джанни Ривера,Джани Ривера,Gianni Rivera,Gianni Rivera
3934,Ferenc Puskás,Ферэнц Пушкаш,Ференц Пушкаш,Ференц Пушкаш,Ференц Пушкаш,Ferenc Puskás,Ferenc Puskás
3935,George Gordon Byron,Лорд Байран,Гордон Джордж,Джордж Байрон,Джордж Байрон,George Noel Gordon Byron,George Gordon Byron
3936,Pietro Perugino,Перуджына,П'єтро Перуджіно,Пьетро Перуджино,Пиетро Перуджино,Perugino,Perugino
3937,Federico García Lorca,Федэрыка Гарсіа Лорка,Гарсія Федеріко,Федерико Гарсиа Лорка,Федерико Гарсия Лорка,Federico García Lorca,Federico García Lorca
3938,Giorgio Vasari,Джорджыа Вазары,Джорджо Вазарі,Джорджо Вазари,Джорджо Вазари,Giorgio Vasari,Giorgio Vasari
3939,Joan Miró,Хаан Міро,Жуан Міро,Жоан Миро,Жоан Миро,Joan Miró,Joan Miró
3940,Vincent van Gogh,Вінсент Ван Гог,ван Вінсент,Винсент Ван Гог,Винсент ван Гог,Vincent van Gogh,Vincent van Gogh
